ID,site,River,City,State,Country,Latitude,Longitude,pH
S19S_0094,94,Icacos,Naguabo,Puerto Rico,USA,18.2756318,-65.7852594,6.5
S19S_0093,93,Wood Brook,Stafford,Not_Provided,United Kingdom,52.800611,-2.304861,7.5
S19S_0082,82,Muddy Creek,Edgewater,Maryland,USA,38.8748139,-76.5464751,7
S19S_0081,81,Northeast Branch of Anacostia,Riverdale,Maryland,USA,38.96027778,-76.92611111,6.5
S19S_0060,60,Yakima River,Benton City,Washington,USA,46.253117,-119.4769597,8
S19S_0021,21,Black Warrior,Demopolis,Alabama,USA,32.54082,-87.79828,7.5
S19S_0052,52,Platte Kill,Dunraven,New York,USA,42.13233,-74.69546,6.5
S19S_0031,31,McRae Creek,Blue River,Oregon,USA,44.2602364,-122.1647132,6
S19S_0087,87,Dobson Creek,Boise,Idaho,USA,43.1233625,-116.7744702,7.25
S19S_0059,59,Heel Creek tributary,Deer Valley,Washington,USA,48.16841972,-117.3913007,6.5
S19S_0045,45,Erpe River sidechannel,Berlin-HeidemÙhle,Brandenburg,Germany,52.476556,13.625541,"7.7 (with WTW sensor), strip: 7.5"
S19S_0017,17,McDiffett Creek,Manhattan,Kansas,USA,38.94667,-96.44379,7.5
S19S_0089,89,Stroubles Creek,Blacksburg,Virginia,USA,37.21012,-80.44529,7
S19S_0032,32,Teakettle 2 Creek,Sierra National Forest,California,USA,36.95503,-119.02367,7
S19S_0046,46,Nigardsbreen River,Nigardsbreen,Not_Provided,Norway,61.6755,7.21221,6.5 (8.6 from pH-meter) - note the low solute concentration (EC = 2.4 uS/cm)
S19S_0053,53,Farmington,Simsbury,Connecticut,USA,41.869617,-72.796633,6.5
S19S_0058,58,Jordan River,Gesher Arik,Not_Provided,Israel,32.89930396,35.61364573,7.5
S19S_0100,100,East River,Crested Butte,Colorado,USA,38.922712,-106.950743,7.24
S19S_0091,91,Copper River,Cordova,Alaska,USA,60.520879,-144.837479,6.5
S19S_0096,96,Orco,San Benigno Canavese,Not_Provided,Italy,45.2475946,7.8046509,6.5
S19S_0057,57,Tims Branch,Aiken,South Carolina,USA,33.337694,-81.718237,7.0 (6.74 with pH probe)
S19S_0092,92,Blythe,Birmingham,Not_Provided,UK,52.419705,-1.704293,7
S19S_0065,65,Russian River,Guerneville,California,USA,38.50916,-122.883392,5
S19S_0079,79,Umpqua,Elkton,Oregon,USA,43.6368,-123.572,7.5-8
S19S_0078,78,Little Wolf Creek,Tyee,Oregon,USA,43.43138889,-123.5855556,7
S19S_0054,54,Pamunkey River,New Kent,Virginia,USA,37.57267,-77.0237,6.7
S19S_0004,4,South Thompson,Chase,British Columbia,Canada,50.77505,-119.72175,6.5
S19S_0003,3,Thompson,Kamloops,British Columbia,Canada,50.68883,-120.36647,6
S19S_0001,1,Fraser,Hope,British Columbia,Canada,49.38626,-121.45055,6.5
S19S_0005,5,Assiniboine,Winnipeg,Manitoba,Canada,49.86877,-97.40805,8
S19S_0018,18,LeConte Creek,Gatlinburg,Tennessee,USA,35.692083,-83.5044488,6.5
S19S_0019,19,Walker Branch,Oak Ridge,Tennessee,USA,35.956601,-84.2789099,8
S19S_0015,15,Flint River,Newton,Georgia,USA,31.184508,-84.437802,7
S19S_0090,90,Cobb Mill Creek,Oyster,Virginia,USA,37.291374,-75.930615,6.5
S19S_0080,80,Rio Grande,South Valley,New Mexico,USA,34.950833,-106.681271,8.11
