Study_Code,Sample_ID,Date,Stream_Name,City,State_or_Province,Country,US_Latitude_dec.deg,US_Longitude_dec.deg
WHONDRS_S19S,S19S_0049,13-Aug-19,Rio Guilarte,Adjuntas,Puerto Rico,USA,18.17413,-66.79967
WHONDRS_S19S,S19S_0050,13-Aug-19,Oksrukuyik Creek,North Slope Borough,Alaska,USA,68.62722,-149.5972
WHONDRS_S19S,S19S_0051,14-Aug-19,Caribou Creek,Fairbanks,Alaska,USA,64.85568,-147.80559
WHONDRS_S19S,S19S_0052,20-Aug-19,Platte Kill,Dunraven,New York,USA,42.13247,-74.69548
WHONDRS_S19S,S19S_0053,25-Aug-19,Farmington,Simsbury,Connecticut,USA,41.869583,-72.796767
WHONDRS_S19S,S19S_0054,5-Aug-19,Pamunkey River,New Kent,Virginia,USA,37.5728,-77.02396
WHONDRS_S19S,S19S_0055,5-Aug-19,South Fork Polouse,Pullman,Washington,USA,46.7322206,-117.180384
WHONDRS_S19S,S19S_0056,11-Aug-19,Nakdong,Busan,Not_Provided,South Korea,35.1634,128.9646
WHONDRS_S19S,S19S_0057,29-Aug-19,Tims Branch,Aiken,South Carolina,USA,33.337716,-81.718159
WHONDRS_S19S,S19S_0058,18-Aug-19,Jordan River,Gesher Arik,Not_Provided,Israel,32.899396,35.61366095
WHONDRS_S19S,S19S_0059,12-Aug-19,Heel Creek tributary,Deer Valley,Washington,USA,48.16859001,-117.3903992
WHONDRS_S19S,S19S_0060,19-Aug-19,Yakima River,Benton City,Washington,USA,46.2530248,-119.4772256
WHONDRS_S19S,S19S_0061,12-Aug-19,Black Earth Creek,Cross Plains,Wisconsin,USA,43.1091,-89.6403
WHONDRS_S19S,S19S_0062,13-Aug-19,Gunnison River,Gunnison,Colorado,USA,38.544778,-106.950056
WHONDRS_S19S,S19S_0063,12-Aug-19,Lower Colorado ,Austin ,Texas,USA ,30.250278,-97.709566
WHONDRS_S19S,S19S_0064,12-Aug-19,Shavers Creek,Petersburg,Pennsylvania,USA,40.61507,-78.00688
WHONDRS_S19S,S19S_0065,2-Sep-19,Russian River,Guerneville,California,USA,38.509635,-122.8834
